ImageName,x,y,width,height,label
video5_frame_1484.jpg,2385,626,138.61,228.07,
video5_frame_1484.jpg,3297,882,174.5,167.94,
video5_frame_1484.jpg,2584,47,213.05,137.08,
video5_frame_1484.jpg,834,2095,190,65,
video5_frame_1484.jpg,2559,134,222.02,174.74,
video5_frame_1484.jpg,3380,450,190.04,272.54,
video5_frame_1484.jpg,3282,393,115.47,205.79,
video5_frame_1484.jpg,2053,525,127.84,198.22,
video5_frame_1484.jpg,2168,567,129.82,205,
video5_frame_1889.jpg,2581,33,212.68,140.72,
video5_frame_1889.jpg,957,1764,209.9,156.3,
video5_frame_1889.jpg,2042,502,132.61,209.49,
video5_frame_1889.jpg,810,2083,198,77,
video5_frame_1889.jpg,3378,447,190.13,272.9,
video5_frame_1889.jpg,2380,617,135.04,231.15,
video5_frame_1889.jpg,3288,880,176.25,165.54,
video5_frame_1889.jpg,2778,1269,202.1,139.38,
video5_frame_1889.jpg,2588,1009,210.01,128.4,
video5_frame_1889.jpg,2428,1176,212.48,107.86,
video5_frame_1889.jpg,2752,268,141.23,218.5,
video5_frame_1889.jpg,3278,438,116.01,162.54,
video5_frame_1889.jpg,3339,1229,276.48,165.92,
video5_frame_1889.jpg,2158,559,127.43,204.71,
video5_frame_1889.jpg,2174,888,246.34,154.19,
video5_frame_1889.jpg,1882,930,212.5,163.18,
video5_frame_1889.jpg,2553,144,209.88,155.15,
video1_frame_130.jpg,1268,388,124.63,118.39,
video1_frame_130.jpg,1021,420,139.86,139.41,
video1_frame_130.jpg,1175,535,223.93,342.77,
video1_frame_130.jpg,773,760,272.61,261.7,
video1_frame_130.jpg,265,1267,493.1,476.27,
video1_frame_130.jpg,1187,0,47.25,33.7,
video1_frame_130.jpg,1265,0,45.01,23.15,
video1_frame_130.jpg,1041,267,107.23,124.7,
video1_frame_130.jpg,1213,84,64.12,61.73,
video1_frame_130.jpg,1297,34,57.92,48.89,
video1_frame_130.jpg,1099,98,70.86,64.56,
video1_frame_130.jpg,1327,67,67.37,57.31,
video1_frame_130.jpg,1363,117,72.32,63.18,
video1_frame_130.jpg,1450,222,101.51,84.83,
video1_frame_130.jpg,1725,1136,280.35,403.3,
video1_frame_130.jpg,1070,179,85.8,76.28,
video1_frame_130.jpg,739,1505,470.05,642.1,
video1_frame_130.jpg,1738,812,263.82,359.45,
video1_frame_130.jpg,868,281,112.69,119.79,
video1_frame_130.jpg,1223,133,82.16,79.04,
video1_frame_130.jpg,1231,183,93.12,68.01,
video1_frame_130.jpg,1243,225,104.42,97.66,
video1_frame_130.jpg,1253,284,108.93,126.58,
video5_frame_1971.jpg,975,1751,207.25,156.51,
video5_frame_1971.jpg,825,2064,208.45,95.53,
video5_frame_1971.jpg,2398,628,137.09,228.4,
video5_frame_1971.jpg,2180,565,131.83,205.6,
video5_frame_1971.jpg,2064,512,135.81,206.97,
video5_frame_1971.jpg,2715,1055,217.14,119.32,
video5_frame_1971.jpg,2576,161,210.14,155.72,
video5_frame_1971.jpg,2604,56,212.75,134.89,
video5_frame_1971.jpg,2640,0,225.69,79.29,
video5_frame_1971.jpg,3295,419,118.24,196.93,
video5_frame_1971.jpg,3301,900,177.22,164.48,
video5_frame_1971.jpg,3392,470,190.91,268.74,
video5_frame_2289.jpg,2067,503,132.78,206.73,
video5_frame_2289.jpg,2787,0,243,88.8,
video5_frame_2289.jpg,846,2077,203.02,83.05,
video5_frame_2289.jpg,990,1759,209.33,156.28,
video5_frame_2289.jpg,3298,422,116.19,165.04,
video5_frame_2289.jpg,3310,871,176.54,167.68,
video5_frame_2289.jpg,3350,1411,213.44,137.86,
video5_frame_2289.jpg,2599,38,213.94,133.28,
video5_frame_2289.jpg,2574,142,209.19,154.83,
video5_frame_2289.jpg,2402,611,136.54,231.75,
video5_frame_2289.jpg,2182,547,128.56,213.19,
video5_frame_2289.jpg,1717,1319,125.54,215.68,
video5_frame_2289.jpg,3398,436,189.96,273.9,
video5_frame_166.jpg,808,2033,215.35,127.37,
video5_frame_166.jpg,1879,1208,199.7,220.05,
video5_frame_166.jpg,2066,427,138.51,216.24,
video5_frame_166.jpg,2185,478,136.35,216.35,
video5_frame_166.jpg,2276,552,148.74,220.48,
video5_frame_166.jpg,2412,543,139.81,237.1,
video5_frame_166.jpg,2620,0,218.14,89.86,
video5_frame_166.jpg,2592,61,216.8,159.11,
video5_frame_166.jpg,3328,295,141.14,226.3,
video5_frame_166.jpg,3441,366,198.96,279.91,
video5_frame_166.jpg,3344,815,186.92,171.97,
video5_frame_684.jpg,3395,403,192,276.46,
video5_frame_684.jpg,3309,843,177.31,168.4,
video5_frame_684.jpg,1811,1150,232.92,210.88,
video5_frame_684.jpg,822,2083,203,77,
video5_frame_684.jpg,2050,474,136.4,213.51,
video5_frame_684.jpg,2169,525,129.05,213.51,
video5_frame_684.jpg,2260,608,140.07,204.59,
video5_frame_684.jpg,2392,587,136.39,232.92,
video5_frame_684.jpg,2561,114,212.46,151.61,
video5_frame_684.jpg,2586,6,214.56,133.24,
video5_frame_684.jpg,3289,339,133.24,218.76,
video4_frame_213.jpg,3476,986,96.98,79.82,
video4_frame_213.jpg,3784,990,56,100,
video4_frame_213.jpg,3718,1002,95.79,78.57,
video4_frame_213.jpg,3669,1006,81.52,66.51,
video4_frame_213.jpg,3600,1006,81.07,54.12,
video4_frame_213.jpg,3572,995,60.86,60.14,
video4_frame_213.jpg,3227,1002,10.26,32.45,
video4_frame_213.jpg,3398,1002,25.17,35.51,
video4_frame_213.jpg,3347,1000,52.71,39.51,
video4_frame_213.jpg,3291,990,56.6,40.43,
video4_frame_213.jpg,2581,932,158.66,58.15,
video4_frame_213.jpg,0,0,1933.27,2160,
video4_frame_213.jpg,2121,884,558.81,274.56,
video4_frame_213.jpg,2724,902,358.55,250.34,
video4_frame_213.jpg,3052,973,123.95,100.51,
video4_frame_213.jpg,3157,989,70.31,60.85,
video4_frame_213.jpg,3455,1007,27.77,34.11,
video5_frame_1826.jpg,2514,1159,222.88,118.96,
video5_frame_1826.jpg,3297,877,177.5,166.33,
video5_frame_1826.jpg,2048,506,132.6,209.49,
video5_frame_1826.jpg,2711,475,133.13,207.8,
video5_frame_1826.jpg,1763,1134,238.89,227.16,
video5_frame_1826.jpg,824,2091,190,69,
video5_frame_1826.jpg,3606,1227,207.68,199.09,
video5_frame_1826.jpg,1500,1951,156.32,203.91,
video5_frame_1826.jpg,2165,560,127.44,204.71,
video5_frame_1826.jpg,2386,617,135.03,231.15,
video5_frame_1826.jpg,2796,1058,231.48,142.97,
video5_frame_1826.jpg,3282,433,120.74,162.54,
video5_frame_1826.jpg,2559,144,209.88,154.71,
video5_frame_1826.jpg,964,1768,210.67,154.75,
video5_frame_1826.jpg,3384,443,190.13,272.9,
video5_frame_1826.jpg,1352,1918,156.48,227.3,
video5_frame_1826.jpg,2585,32,212.67,140.72,
video1_frame_537.jpg,867,279,110,121.24,
video1_frame_537.jpg,1084,81,68.22,57.42,
video1_frame_537.jpg,1309,6,75.16,84.98,
video1_frame_537.jpg,1224,0,61.4,55.66,
video1_frame_537.jpg,1203,30,61.04,65.75,
video1_frame_537.jpg,1219,100,74.48,67.65,
video1_frame_537.jpg,1352,82,74.09,63.45,
video1_frame_537.jpg,1382,150,88.62,92.31,
video1_frame_537.jpg,1231,164,83.71,78.6,
video1_frame_537.jpg,1073,153,81.86,72.65,
video1_frame_537.jpg,1055,325,112.92,121.45,
